,FILENAME1.slf,FILENAME2.slf,COMPLEXE,SCENARIO,CRUE
Hmax_crue1203_EP_C1_8-EA.ews,max_crue1203_EP_C1_8-EA.slf,max_crue1203_EA-EP_C1_8.slf,Complexe 1,Scénario 6,Crue de décembre 2003
Hmax_crue1203_EP_C1_3-EA.ews,max_crue1203_EP_C1_3-EA.slf,max_crue1203_EA-EP_C1_3.slf,Complexe 1,Scénario 2a,Crue de décembre 2003
Hmax_crue1203_EP_C1_20_3-EA.ews,max_crue1203_EP_C1_20_3-EA.slf,max_crue1203_EA-EP_C1_20_3.slf,Complexe 1,Scénario 3a,Crue de décembre 2003
Hmax_crue1203_EP_C1_20_3G-EA.ews,max_crue1203_EP_C1_20_3G-EA.slf,max_crue1203_EA-EP_C1_20_3G.slf,Complexe 1,Scénario 4,Crue de décembre 2003
Hmax_crue1203_EP_C1_20_8-EA.ews,max_crue1203_EP_C1_20_8-EA.slf,max_crue1203_EA -EP_C1_20_8.slf,Complexe 1,Scénario 6a,Crue de décembre 2003
Hmax_crue1203_EP_C1_20_8G-EA.ews,max_crue1203_EP_C1_20_8G-EA.slf,max_crue1203_EA -EP_C1_20_8G.slf,Complexe 1,Scénario 7,Crue de décembre 2003
