time,A,B,C,4,5,6
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
15000.0,2.615e-01,1.813e-01,6.484e-02,-7.756e-02,1.667e-03,-1.821e-09
30000.0,2.585e-01,1.787e-01,6.407e-02,-7.516e-02,1.726e-03,-1.710e-09
45000.0,3.619e-01,2.523e-01,8.934e-02,-1.073e-01,2.916e-03,-1.835e-09
60000.0,3.353e-01,2.312e-01,8.475e-02,-9.782e-02,-2.036e-02,4.215e-09
75000.0,3.348e-01,2.311e-01,8.120e-02,-9.536e-02,-2.216e-02,4.170e-09
90000.0,3.380e-01,2.328e-01,8.291e-02,-9.748e-02,-2.043e-02,4.325e-09
105000.0,3.793e-01,2.606e-01,9.477e-02,-1.116e-01,5.462e-03,1.107e-08
120000.0,3.671e-01,2.562e-01,8.410e-02,-1.052e-01,-1.891e-03,1.277e-08
135000.0,3.754e-01,2.821e-01,6.441e-02,-1.074e-01,1.959e-03,9.725e-09
150000.0,3.996e-01,3.077e-01,9.687e-02,-1.275e-01,6.213e-07,2.168e-07
165000.0,4.267e-01,3.326e-01,1.061e-01,-1.281e-01,4.940e-09,8.546e-09
180000.0,4.841e-01,3.749e-01,1.243e-01,-1.201e-01,2.093e-09,5.367e-09
195000.0,5.186e-01,4.008e-01,1.331e-01,-1.162e-01,4.902e-09,7.348e-08
210000.0,6.191e-01,4.784e-01,1.536e-01,-1.702e-01,6.122e-09,1.142e-07
225000.0,5.651e-01,4.362e-01,1.415e-01,-1.399e-01,5.862e-09,1.142e-07
240000.0,7.211e-01,5.624e-01,1.869e-01,-1.598e-01,6.776e-09,8.638e-08
255000.0,7.760e-01,6.063e-01,2.147e-01,-1.590e-01,8.107e-09,8.124e-08
270000.0,8.874e-01,6.964e-01,2.557e-01,-1.720e-01,9.970e-09,5.923e-08
285000.0,1.002e+00,7.822e-01,2.958e-01,-1.888e-01,9.869e-09,5.230e-08
300000.0,1.201e+00,9.544e-01,3.478e-01,-1.932e-01,7.180e-09,2.613e-08
315000.0,1.438e+00,1.173e+00,3.213e-01,-2.118e-01,6.588e-09,2.390e-08
330000.0,1.816e+00,1.556e+00,1.230e-01,-2.574e-01,7.138e-09,2.890e-08
345000.0,2.301e+00,2.206e+00,-5.053e-02,-2.748e-01,9.388e-09,3.420e-08
360000.0,2.389e+00,2.340e+00,-2.292e-02,-2.865e-01,8.895e-09,3.315e-08
375000.0,2.397e+00,2.384e+00,-4.595e-03,-2.862e-01,9.227e-09,3.490e-08
390000.0,2.493e+00,2.597e+00,3.600e-07,-3.124e-01,1.371e-08,3.977e-08
405000.0,2.443e+00,2.484e+00,4.391e-03,-2.882e-01,9.895e-09,3.182e-08
420000.0,2.461e+00,2.541e+00,4.151e-02,-2.902e-01,1.106e-08,3.462e-08
435000.0,2.483e+00,2.507e+00,2.120e-03,-3.016e-01,7.643e-09,3.289e-08
450000.0,2.597e+00,2.655e+00,2.685e-02,-3.525e-01,1.830e-08,5.187e-08
465000.0,2.445e+00,2.254e+00,4.161e-02,-3.299e-01,1.074e-08,3.794e-08
480000.0,1.768e+00,1.437e+00,4.744e-01,-2.938e-01,6.999e-09,2.735e-08
495000.0,1.785e+00,1.449e+00,4.800e-01,-2.943e-01,3.383e-09,1.994e-08
510000.0,1.415e+00,1.112e+00,4.267e-01,-3.156e-01,2.841e-09,1.193e-08
525000.0,1.014e+00,7.933e-01,2.830e-01,-2.620e-01,2.672e-07,4.097e-08
540000.0,7.553e-01,5.855e-01,1.942e-01,-2.246e-01,4.160e-07,7.202e-08
555000.0,6.242e-01,4.815e-01,1.611e-01,-1.362e-01,1.283e-06,1.010e-07
570000.0,5.640e-01,4.358e-01,1.455e-01,-1.318e-01,2.596e-07,7.721e-08
585000.0,4.994e-01,3.879e-01,1.257e-01,-1.286e-01,4.681e-09,7.582e-08
600000.0,4.809e-01,3.748e-01,1.182e-01,-1.498e-01,6.985e-09,2.365e-08
615000.0,4.873e-01,3.814e-01,1.224e-01,-1.570e-01,9.575e-09,3.509e-08
630000.0,3.227e-01,2.515e-01,8.059e-02,-9.664e-02,3.918e-09,1.761e-08
645000.0,3.103e-01,2.419e-01,7.623e-02,-9.149e-02,4.510e-09,2.804e-08
660000.0,3.098e-01,2.408e-01,7.698e-02,-8.469e-02,2.913e-09,1.366e-08
675000.0,3.267e-01,2.538e-01,8.231e-02,-8.640e-02,1.698e-09,1.145e-08
690000.0,3.019e-01,2.336e-01,7.561e-02,-7.566e-02,8.082e-08,9.629e-09
705000.0,4.799e-01,3.720e-01,1.226e-01,-1.194e-01,2.602e-09,1.859e-08
720000.0,1.574e-01,1.217e-01,3.938e-02,-3.706e-02,8.964e-08,1.091e-08
735000.0,1.504e-01,1.157e-01,3.215e-02,-4.863e-02,1.570e-03,1.643e-08
750000.0,2.446e-01,1.727e-01,4.483e-02,-6.783e-02,5.955e-04,6.903e-09
765000.0,3.687e-01,2.623e-01,7.136e-02,-1.050e-01,3.409e-03,8.322e-09
780000.0,2.437e-01,1.757e-01,4.865e-02,-7.114e-02,1.125e-03,9.744e-10
795000.0,2.670e-01,1.851e-01,5.645e-02,-7.659e-02,4.639e-04,1.311e-09
810000.0,2.311e-01,1.605e-01,5.324e-02,-6.832e-02,1.040e-03,2.180e-09
825000.0,2.249e-01,1.564e-01,5.874e-02,-6.933e-02,7.295e-04,3.745e-10
840000.0,1.686e-01,1.146e-01,4.076e-02,-4.686e-02,-1.290e-02,-3.059e-09
855000.0,2.701e-01,1.873e-01,6.747e-02,-7.972e-02,8.682e-03,3.793e-10
870000.0,3.239e-01,2.253e-01,8.057e-02,-9.869e-02,1.007e-02,6.968e-10
885000.0,3.415e-01,2.366e-01,8.004e-02,-9.968e-02,9.917e-03,7.424e-10
900000.0,3.243e-01,2.251e-01,7.977e-02,-9.673e-02,9.983e-03,7.081e-10
915000.0,3.308e-01,2.292e-01,7.888e-02,-9.615e-02,9.560e-03,7.581e-10
930000.0,3.220e-01,2.231e-01,7.807e-02,-9.376e-02,6.558e-03,-8.640e-10
945000.0,3.559e-01,2.470e-01,8.675e-02,-1.039e-01,3.419e-03,-1.260e-09
960000.0,3.575e-01,2.479e-01,8.640e-02,-1.036e-01,3.256e-03,-1.153e-09
975000.0,3.651e-01,2.535e-01,8.866e-02,-1.066e-01,3.403e-03,-9.706e-10
990000.0,3.476e-01,2.411e-01,8.379e-02,-1.009e-01,2.688e-03,-1.085e-09
1005000.0,3.351e-01,2.324e-01,8.131e-02,-9.785e-02,2.137e-03,-1.184e-09
1020000.0,2.819e-01,1.951e-01,6.829e-02,-8.185e-02,7.393e-04,-2.039e-09
1035000.0,3.033e-01,2.098e-01,7.185e-02,-8.857e-02,1.796e-04,-2.642e-09
1050000.0,3.274e-01,2.270e-01,7.999e-02,-9.551e-02,1.236e-03,-2.666e-09
1065000.0,3.133e-01,2.170e-01,7.591e-02,-9.079e-02,1.048e-03,-2.506e-09
1080000.0,3.113e-01,2.156e-01,7.538e-02,-9.033e-02,9.070e-04,-2.465e-09
1095000.0,2.081e-01,1.437e-01,5.144e-02,-6.034e-02,7.485e-04,-1.281e-09
1110000.0,1.164e-01,7.937e-02,2.799e-02,-3.125e-02,5.914e-04,-7.534e-10
1125000.0,1.772e-01,1.221e-01,4.414e-02,-5.077e-02,9.128e-04,-1.196e-09
1140000.0,1.215e-01,8.336e-02,3.111e-02,-3.426e-02,1.145e-03,-7.681e-10
1155000.0,1.258e-01,8.630e-02,2.989e-02,-3.610e-02,-3.576e-05,-1.033e-09
1170000.0,1.240e-01,8.512e-02,3.024e-02,-3.605e-02,2.034e-04,-9.558e-10
1185000.0,1.565e-01,1.071e-01,3.789e-02,-4.519e-02,1.512e-04,-1.137e-09
1200000.0,1.564e-01,1.078e-01,3.814e-02,-4.618e-02,3.109e-04,-1.007e-09
1215000.0,1.461e-01,1.004e-01,3.535e-02,-4.278e-02,1.347e-04,-1.005e-09
1230000.0,1.399e-02,1.505e-02,8.385e-03,-9.647e-03,3.756e-04,-2.788e-07
1245000.0,1.576e-02,1.022e-02,2.861e-03,-4.364e-03,-1.050e-03,-4.022e-07
1260000.0,5.583e-02,3.744e-02,1.380e-02,-1.561e-02,1.349e-03,2.813e-08
1275000.0,9.988e-02,6.827e-02,2.615e-02,-2.809e-02,4.384e-03,3.033e-08
1290000.0,1.484e-01,1.008e-01,3.379e-02,-3.956e-02,5.581e-03,1.353e-09
1305000.0,1.620e-01,1.138e-01,4.883e-02,-4.946e-02,8.848e-03,7.026e-10
1320000.0,5.644e-02,3.840e-02,1.714e-02,-1.259e-02,3.169e-03,-3.077e-08
1335000.0,2.035e-01,1.407e-01,5.228e-02,-6.241e-02,6.740e-03,2.604e-09
1350000.0,2.134e-01,1.477e-01,5.366e-02,-5.937e-02,2.174e-03,2.642e-10
1365000.0,1.610e-01,1.110e-01,4.083e-02,-4.395e-02,4.971e-03,2.887e-10
1380000.0,2.301e-01,1.597e-01,5.878e-02,-7.032e-02,-4.906e-03,1.403e-09
1395000.0,6.069e-02,4.204e-02,2.533e-02,-1.736e-02,1.466e-03,-9.474e-07
1410000.0,5.665e-02,3.820e-02,1.472e-02,-1.391e-02,4.148e-03,-2.377e-07
1425000.0,2.611e-01,1.812e-01,6.689e-02,-7.395e-02,8.372e-03,2.277e-09
1440000.0,2.724e-01,1.897e-01,6.775e-02,-7.936e-02,5.900e-03,8.739e-10
1455000.0,2.308e-01,1.596e-01,5.819e-02,-6.841e-02,6.861e-04,2.228e-09
1470000.0,1.663e-01,1.150e-01,4.515e-02,-4.995e-02,3.227e-03,1.055e-09
1485000.0,3.551e-02,2.698e-02,2.124e-02,-1.900e-02,3.407e-03,-1.536e-06
1500000.0,8.017e-02,5.234e-02,1.206e-02,-1.477e-02,-5.094e-03,1.182e-09
1515000.0,3.170e-01,2.206e-01,7.687e-02,-8.996e-02,6.020e-03,5.466e-11
1530000.0,2.282e-01,1.579e-01,6.024e-02,-6.718e-02,4.757e-03,2.274e-09
1545000.0,2.424e-01,1.677e-01,5.899e-02,-7.151e-02,7.831e-04,-3.491e-10
1560000.0,1.267e-01,8.672e-02,3.067e-02,-3.640e-02,6.303e-04,-2.907e-10
1575000.0,1.415e-02,1.216e-02,6.505e-03,-8.897e-03,-1.372e-03,-1.389e-06
1590000.0,8.816e-02,5.844e-02,1.212e-02,-1.678e-02,-3.220e-03,3.678e-10
1605000.0,3.371e-01,2.346e-01,8.496e-02,-1.009e-01,1.332e-03,1.830e-09
1620000.0,1.244e-01,8.556e-02,3.637e-02,-3.514e-02,6.536e-03,3.499e-10
1635000.0,6.308e-02,4.285e-02,1.822e-02,-1.771e-02,2.175e-03,-3.847e-10
1650000.0,4.696e-02,3.317e-02,1.471e-02,-1.471e-02,2.758e-03,-5.474e-09
1665000.0,1.271e-02,8.915e-03,4.904e-03,-6.711e-03,-3.404e-04,-2.631e-07
1680000.0,1.194e-01,7.922e-02,1.730e-02,-2.555e-02,-7.497e-03,5.216e-10
1695000.0,2.212e-01,1.553e-01,6.741e-02,-7.023e-02,8.363e-03,2.194e-09
1710000.0,6.780e-02,4.558e-02,1.565e-02,-1.653e-02,1.413e-03,2.576e-10
1725000.0,3.829e-01,2.666e-01,9.693e-02,-1.134e-01,3.261e-03,1.958e-09
