time,A,B,C,4,5,6
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
15000.0,-7.574e-02,-1.474e-01,-2.129e-01,-1.865e-01,1.414e-03,-1.468e-09
30000.0,-7.431e-02,-1.456e-01,-2.097e-01,-1.846e-01,2.465e-03,-1.247e-09
45000.0,-1.049e-01,-2.058e-01,-2.973e-01,-2.604e-01,5.940e-03,-2.060e-09
60000.0,-9.658e-02,-1.946e-01,-2.798e-01,-2.443e-01,-1.084e-01,-8.208e-10
75000.0,-9.650e-02,-1.920e-01,-2.758e-01,-2.376e-01,-1.132e-01,-9.036e-10
90000.0,-9.740e-02,-1.957e-01,-2.807e-01,-2.402e-01,-1.096e-01,-7.192e-10
105000.0,-1.082e-01,-2.195e-01,-3.189e-01,-2.723e-01,-2.634e-02,-8.330e-10
120000.0,-9.901e-02,-2.130e-01,-3.092e-01,-2.571e-01,-2.895e-02,-1.183e-09
135000.0,-8.369e-02,-2.323e-01,-3.074e-01,-2.537e-01,4.652e-03,-1.467e-09
150000.0,-9.098e-02,-2.335e-01,-3.203e-01,-2.823e-01,1.557e-07,-7.855e-08
165000.0,-1.037e-01,-2.399e-01,-3.356e-01,-2.712e-01,3.330e-10,-1.268e-09
180000.0,-1.175e-01,-2.574e-01,-3.732e-01,-2.898e-01,1.387e-10,-9.705e-10
195000.0,-1.265e-01,-2.669e-01,-3.967e-01,-3.017e-01,-6.371e-11,-2.525e-08
210000.0,-1.607e-01,-2.974e-01,-4.509e-01,-3.354e-01,-7.951e-10,-3.748e-08
225000.0,-1.467e-01,-2.680e-01,-4.015e-01,-3.045e-01,-6.496e-10,-3.757e-08
240000.0,-1.872e-01,-3.156e-01,-4.746e-01,-3.544e-01,-7.436e-10,-2.763e-08
255000.0,-2.043e-01,-3.298e-01,-5.078e-01,-3.631e-01,-7.556e-10,-2.531e-08
270000.0,-2.313e-01,-3.653e-01,-5.816e-01,-3.937e-01,-8.514e-10,-1.662e-08
285000.0,-2.609e-01,-4.098e-01,-6.470e-01,-4.342e-01,-9.267e-10,-1.450e-08
300000.0,-3.133e-01,-4.374e-01,-6.345e-01,-4.424e-01,-4.714e-10,-6.115e-09
315000.0,-3.754e-01,-4.803e-01,-5.839e-01,-4.711e-01,-5.953e-10,-5.467e-09
330000.0,-4.709e-01,-5.516e-01,-1.187e-01,-5.298e-01,-7.446e-10,-6.818e-09
345000.0,-6.079e-01,-5.731e-01,1.030e-01,-5.438e-01,-1.088e-09,-7.986e-09
360000.0,-6.328e-01,-5.826e-01,3.150e-02,-5.624e-01,-1.110e-09,-7.839e-09
375000.0,-6.374e-01,-5.600e-01,2.754e-02,-5.571e-01,-1.187e-09,-8.189e-09
390000.0,-6.649e-01,-5.413e-01,-6.479e-08,-5.868e-01,-2.067e-09,-9.441e-09
405000.0,-6.518e-01,-5.508e-01,6.125e-03,-5.616e-01,-1.396e-09,-7.720e-09
420000.0,-6.556e-01,-5.372e-01,-4.093e-03,-5.622e-01,-1.600e-09,-8.296e-09
435000.0,-6.620e-01,-5.784e-01,5.105e-03,-5.858e-01,-1.176e-09,-7.978e-09
450000.0,-6.924e-01,-6.202e-01,-9.786e-03,-6.598e-01,-2.598e-09,-1.211e-08
465000.0,-6.345e-01,-6.893e-01,7.396e-02,-6.512e-01,-1.172e-09,-9.024e-09
480000.0,-4.651e-01,-6.163e-01,-8.843e-01,-6.235e-01,-6.751e-10,-6.440e-09
495000.0,-4.701e-01,-6.231e-01,-8.899e-01,-6.257e-01,8.457e-10,-4.872e-09
510000.0,-3.665e-01,-5.426e-01,-8.213e-01,-5.613e-01,-1.982e-10,-2.537e-09
525000.0,-2.660e-01,-4.277e-01,-6.582e-01,-4.589e-01,1.158e-07,-1.285e-08
540000.0,-1.963e-01,-3.614e-01,-5.324e-01,-3.971e-01,2.206e-07,-2.418e-08
555000.0,-1.520e-01,-3.249e-01,-4.723e-01,-3.638e-01,5.970e-07,-3.514e-08
570000.0,-1.369e-01,-3.040e-01,-4.335e-01,-3.414e-01,8.073e-07,-2.674e-08
585000.0,-1.214e-01,-2.787e-01,-3.848e-01,-3.177e-01,6.340e-10,-2.646e-08
600000.0,-1.170e-01,-2.721e-01,-3.719e-01,-3.050e-01,6.892e-10,-6.088e-09
615000.0,-1.186e-01,-2.771e-01,-3.805e-01,-3.175e-01,1.108e-09,-9.318e-09
630000.0,-7.839e-02,-1.821e-01,-2.477e-01,-2.079e-01,3.184e-10,-5.401e-09
645000.0,-7.542e-02,-1.755e-01,-2.406e-01,-1.997e-01,4.268e-10,-9.444e-09
660000.0,-7.527e-02,-1.731e-01,-2.401e-01,-1.962e-01,1.348e-10,-4.393e-09
675000.0,-7.930e-02,-1.803e-01,-2.523e-01,-2.042e-01,7.963e-11,-3.752e-09
690000.0,-7.331e-02,-1.648e-01,-2.296e-01,-1.835e-01,3.236e-08,-3.257e-09
705000.0,-1.164e-01,-2.572e-01,-3.737e-01,-2.919e-01,6.774e-11,-5.918e-09
720000.0,-3.872e-02,-8.569e-02,-1.150e-01,-9.168e-02,7.609e-08,-3.736e-09
735000.0,-3.165e-02,-8.846e-02,-1.165e-01,-9.562e-02,-4.111e-04,-6.104e-09
750000.0,-6.170e-02,-1.430e-01,-1.985e-01,-1.538e-01,-9.926e-03,-1.726e-09
765000.0,-9.495e-02,-2.171e-01,-3.043e-01,-2.474e-01,1.179e-02,-1.965e-09
780000.0,-6.018e-02,-1.443e-01,-1.985e-01,-1.628e-01,5.985e-03,-4.459e-11
795000.0,-7.040e-02,-1.538e-01,-2.202e-01,-1.742e-01,9.697e-04,-1.102e-10
810000.0,-6.011e-02,-1.334e-01,-1.911e-01,-1.634e-01,4.776e-03,-1.220e-10
825000.0,-6.109e-02,-1.286e-01,-1.863e-01,-1.591e-01,-2.205e-03,-1.343e-11
840000.0,-4.708e-02,-9.598e-02,-1.359e-01,-1.148e-01,-5.746e-02,-1.724e-09
855000.0,-7.729e-02,-1.529e-01,-2.211e-01,-1.971e-01,2.848e-02,9.579e-10
870000.0,-9.325e-02,-1.840e-01,-2.663e-01,-2.338e-01,3.478e-02,8.304e-10
885000.0,-9.863e-02,-1.934e-01,-2.782e-01,-2.347e-01,3.154e-02,7.892e-10
900000.0,-9.336e-02,-1.842e-01,-2.659e-01,-2.327e-01,3.452e-02,8.790e-10
915000.0,-9.539e-02,-1.876e-01,-2.703e-01,-2.326e-01,3.214e-02,7.159e-10
930000.0,-9.267e-02,-1.828e-01,-2.639e-01,-2.298e-01,2.504e-02,-7.016e-10
945000.0,-1.028e-01,-2.023e-01,-2.916e-01,-2.529e-01,1.976e-02,-7.957e-10
960000.0,-1.032e-01,-2.034e-01,-2.936e-01,-2.539e-01,2.041e-02,-6.453e-10
975000.0,-1.055e-01,-2.076e-01,-2.993e-01,-2.589e-01,2.099e-02,-8.710e-10
990000.0,-1.003e-01,-1.977e-01,-2.854e-01,-2.464e-01,1.819e-02,-6.996e-10
1005000.0,-9.653e-02,-1.906e-01,-2.752e-01,-2.383e-01,1.450e-02,-8.502e-10
1020000.0,-8.071e-02,-1.599e-01,-2.310e-01,-2.003e-01,-1.985e-04,-1.639e-09
1035000.0,-8.713e-02,-1.718e-01,-2.475e-01,-2.110e-01,-9.016e-03,-2.397e-09
1050000.0,-9.424e-02,-1.860e-01,-2.683e-01,-2.339e-01,-8.554e-04,-2.105e-09
1065000.0,-9.002e-02,-1.779e-01,-2.569e-01,-2.227e-01,-6.337e-04,-1.846e-09
1080000.0,-8.944e-02,-1.768e-01,-2.553e-01,-2.211e-01,-1.004e-03,-1.820e-09
1095000.0,-5.887e-02,-1.176e-01,-1.702e-01,-1.507e-01,4.586e-03,-9.164e-10
1110000.0,-3.221e-02,-6.465e-02,-9.351e-02,-8.351e-02,4.685e-03,-2.858e-10
1125000.0,-4.979e-02,-9.972e-02,-1.442e-01,-1.294e-01,6.969e-03,-6.626e-10
1140000.0,-3.366e-02,-6.789e-02,-9.830e-02,-9.066e-02,9.191e-03,-3.434e-10
